Pays,Annee,Esperance_de_vie,Taux_mortalite_adulte,Taux_mortalite_infantile,Alcool,Hepatite_b,Rougeole,IMC,Deces_chez_les_moins_de_5_ans,Poliomyelite,Diphtherie,VIH_SIDA,Malnutrition_5-9_ans
7,2006,73,161,70,7.1,99,57,48.6,79,99,99,0.1,3.1
7,2005,72.7,163,75,6.97,98,6,47.8,85,99,99,0.1,3.1
7,2004,72,17,81,6.85,96,0,46.9,93,99,99,0.1,3.2
7,2003,71.8,172,88,6.95,97,2,46.1,100,99,99,0.1,3.3
7,2002,71.4,176,95,7,92,1,45.3,109,99,99,0.1,3.3
7,2001,71,179,103,7.13,91,1,44.5,118,99,98,0.1,3.4
7,2000,75,183,111,7.26,94,36,43.7,127,99,98,0.1,3.4
108,2015,74.5,137,0,,92,0,65.7,1,91,91,0.1,1.8
108,2014,74.3,138,1,12.03,95,0,65.1,1,88,88,0.1,1.9
108,2013,74.1,14,1,12.06,95,14,64.5,1,95,95,0.1,1.9
108,2012,73.9,139,1,10.99,95,1,63.9,1,95,95,0.1,1.9
108,2011,73.7,144,1,10.67,96,157,63.3,1,95,95,0.1,2
108,2010,73.4,147,1,10.8,95,22004,62.7,1,94,94,0.1,2
108,2009,73.2,152,1,10.93,96,2249,62.1,1,94,94,0.1,2.1
108,2008,72.9,155,1,10.98,96,1,61.5,1,96,95,0.1,2.1
108,2007,72.6,157,1,10.89,95,1,6.9,1,95,95,0.1,2.2
108,2006,72.2,161,1,10.39,96,1,6.3,1,96,95,0.1,2.2
108,2005,72.1,16,1,10.48,96,3,59.7,1,97,96,0.1,2.3
108,2004,72.2,157,1,10.96,94,0,59.1,1,94,95,0.1,2.3
108,2003,72,155,1,11.19,96,0,58.6,1,96,96,0.1,2.4
108,2002,71.8,157,1,10.2,88,0,58.1,1,94,93,0.1,2.4
108,2001,71.6,16,1,10.72,93,8,57.5,1,94,94,0.1,2.5
108,2000,71.1,163,1,9.69,94,46,57,1,94,93,0.1,2.5
58,2015,59.9,26,38,,91,99,19.4,61,91,91,0.6,7.5
58,2014,59.3,268,39,0.01,91,343,18.8,63,91,91,0.6,7.7
58,2013,59,27,40,4.64,88,375,18.2,66,89,88,0.7,7.9
58,2012,58.6,271,41,4.75,9,7362,17.7,68,9,9,0.8,8.1
58,2011,58.1,275,42,4.51,91,860,17.1,71,9,91,0.9,8.4
58,2010,57.5,279,43,4.55,91,2511,16.6,74,9,91,1,8.6
58,2009,56.9,283,44,4.55,92,54118,16.1,77,91,92,1.1,8.8
58,2008,56.1,288,45,4.5,93,395,15.6,80,92,93,1.5,9.1
58,2007,55.3,293,46,4.58,89,12,15.1,83,93,89,1.7,9.3
58,2006,54.3,32,47,4.73,76,125,14.6,86,94,86,2,9.6
58,2005,53.3,313,48,4.88,,253,14.2,89,94,82,2.3,9.8
58,2004,52.4,323,49,4.54,,77,13.7,91,83,79,2.5,1.1
58,2003,51.6,332,49,4.58,,2946,13.3,92,83,79,2.9,1.3
58,2002,51,338,49,4.53,,1744,12.9,93,69,69,3.2,1.6
58,2001,56,344,48,4.56,,4174,12.5,93,62,62,3.6,1.8
58,2000,51,348,48,3.71,,6074,12.2,92,45,45,4,11.1
78,2015,59.6,288,21,,94,9,18.7,31,94,94,0.7,7.2
78,2014,59.1,297,22,0.01,95,0,18.2,32,95,95,0.7,7.3
78,2013,58.6,33,22,0.01,96,0,17.6,32,96,96,1,7.4
78,2012,58,312,22,0.01,96,49,17.1,33,96,96,1.2,7.5
78,2011,57.4,321,22,4.16,96,129,16.6,33,95,96,1.5,7.6
78,2010,56.8,33,23,4.16,96,495,16.1,34,94,96,1.9,7.7
78,2009,56.2,338,23,04.05,94,305,15.7,34,96,94,2.4,7.8
78,2008,55.3,35,23,4.33,92,173,15.2,35,89,92,2.9,7.9
78,2007,54.8,355,24,4.54,99,43,14.8,36,93,99,3.4,8
78,2006,54.1,361,24,4.5,92,784,14.5,36,88,92,3.8,8.2
78,2005,53.4,369,24,5.54,87,0,14.1,37,82,87,4.3,8.3
78,2004,52.6,378,24,5.72,83,2,13.8,38,76,83,4.8,8.4
78,2003,51.9,387,24,5.84,,224,13.5,38,75,82,5.1,8.5
78,2002,51.5,387,24,5.98,,1016,13.3,39,74,81,5.2,8.7
78,2001,51.3,385,25,06.09,,0,13,40,72,81,5.3,8.8
78,2000,58,386,25,6.61,,18363,12.8,41,71,8,5.2,8.9
52,2015,53.3,397,57,,83,65,28,79,81,83,1.9,5.5
52,2014,52.8,47,58,0.01,76,50,27.4,80,76,76,2,5.6
52,2013,52.3,412,59,3.15,8,48,26.8,81,79,8,2.4,5.7
52,2012,52,415,59,3.24,82,137,26.2,82,83,82,2.9,5.9
52,2011,51.7,419,60,3.13,62,628,25.6,83,58,62,3.3,6
52,2010,51.5,417,60,3.15,85,441,25,84,81,85,3.3,6.2
52,2009,51,426,60,2.92,81,183,24.4,84,77,81,3.7,6.4
52,2008,54,437,60,2.69,74,12,23.8,85,58,74,4.1,6.6
52,2007,49.9,443,61,2.58,76,5,23.2,87,75,76,5.3,6.7
52,2006,49.4,452,62,2.65,77,11,22.6,89,76,77,5.8,6.9
52,2005,48.7,466,63,3.11,76,115,22.1,90,87,76,6.1,7.1
52,2004,48.2,472,64,03.08,67,3466,21.5,91,76,67,6.5,7.3
52,2003,48,473,64,3.12,63,4770,2.9,92,68,61,6.7,7.5
52,2002,47.7,473,65,3.13,48,5882,2.4,93,7,64,6.9,7.7
52,2001,47.8,467,65,3.15,1,5790,19.9,94,7,66,7,7.9
52,2000,47.9,461,67,3.45,,5729,19.4,95,66,65,7.1,8.1
171,2015,73.3,114,0,,96,0,31.3,0,93,93,0.2,6.6
171,2014,73,117,0,0.01,97,0,3.5,0,95,95,0.2,6.7
171,2013,72.8,12,0,0.01,94,0,29.7,0,93,93,0.2,6.9
171,2012,72.7,121,0,0.01,94,0,29,0,94,94,0.3,7.1
171,2011,72.6,122,0,05.07,9,0,28.2,0,9,9,0.3,7.2
171,2010,72.5,123,0,4.75,98,0,27.5,0,99,99,0.4,7.4
171,2009,72.4,124,0,4.45,98,0,26.8,0,99,99,0.4,7.6
171,2008,72.4,124,0,4.16,98,0,26.2,0,99,99,0.4,7.8
171,2007,72.3,126,0,5.28,96,0,25.5,0,98,98,0.6,8
171,2006,72.1,129,0,4.25,95,0,24.9,0,97,96,0.6,8.3
171,2005,71.8,134,0,4.26,93,0,24.3,0,95,95,0.8,8.5
171,2004,71.4,14,0,4.19,91,0,23.7,0,94,93,0.8,8.7
171,2003,71.1,144,0,4.16,66,0,23.2,0,93,92,0.9,8.9
171,2002,77,148,0,3.82,4,0,22.6,0,92,91,0.8,9.1
171,2001,73,152,0,3.81,,0,22.1,0,91,9,0.8,9.3
171,2000,69.9,155,0,3.49,,2,21.5,0,9,9,0.8,9.5
73,2015,68.7,174,10,,89,0,19.6,12,87,89,0.2,1.9
73,2014,68.3,179,11,0.01,88,0,18.9,12,87,88,0.2,11
73,2013,67.8,183,11,0.01,83,0,18.2,13,66,83,0.2,11.1
73,2012,67.4,186,12,0.01,86,15,17.6,14,84,86,0.3,11.2
73,2011,67,19,13,2.12,88,722,17,15,87,88,0.3,11.2
73,2010,66.6,192,14,2.2,89,1156,16.4,16,88,89,0.5,11.3
73,2009,66.1,195,15,2.13,92,4779,15.9,17,95,94,0.6,11.4
73,2008,65.6,199,16,2.24,91,4211,15.3,18,91,91,0.7,11.4
73,2007,65,24,16,02.08,82,394,14.8,20,82,82,0.9,11.5
73,2006,64.1,216,17,02.03,8,188,14.3,21,8,8,1.1,11.6
73,2005,62.9,234,18,1.99,,264,13.9,22,82,82,1.4,11.6
73,2004,61.5,253,19,1.38,,352,13.5,24,86,85,1.7,11.7
73,2003,63,268,21,1.44,,653,13.1,26,69,69,1.9,11.7
73,2002,59.3,273,23,1.43,,1361,12.8,29,54,54,2.1,11.8
73,2001,58.5,273,25,1.71,,3761,12.4,33,59,6,2.2,11.8
73,2000,57.7,274,27,1.51,,12237,12.1,36,62,59,2.1,11.9
53,2015,57.3,357,45,,84,1809,29,68,83,84,3.5,5.5
53,2014,56.7,366,47,0.01,87,831,28.4,71,86,87,3.7,5.7
53,2013,56.4,364,48,0.01,89,760,27.8,73,88,89,4,5.8
53,2012,55.9,369,50,0.01,85,609,27.2,76,85,85,4.6,5.9
53,2011,55.6,371,51,6.19,82,504,26.6,79,8,82,4.9,6
53,2010,55.3,37,53,6.15,84,240,26,82,83,84,5.5,6.2
53,2009,54.8,373,54,5.89,8,251,25.4,85,79,8,6.3,6.3
53,2008,54.2,382,56,5.9,84,495,24.9,87,82,84,6.7,6.5
53,2007,53.6,395,57,5.44,82,100,24.4,89,81,82,7,6.6
53,2006,53.3,394,58,5.22,81,196,23.8,91,78,81,7.2,6.8
53,2005,52.8,4,58,05.03,79,605,23.3,93,79,8,7.4,7
53,2004,52.1,412,59,4.71,,358,22.8,94,72,73,7.5,7.1
53,2003,51.8,412,60,4.64,,899,22.3,95,72,73,7.7,7.3
53,2002,51.6,47,60,4.58,,1448,21.8,97,66,66,7.8,7.5
53,2001,51.5,41,61,4.43,,23934,21.3,99,61,63,7.9,7.7
53,2000,51.4,394,62,3.91,,14629,2.9,100,57,62,7.7,7.8
39,2015,82.2,64,2,,55,195,67,2,91,91,0.1,0.5
39,2014,82,65,2,8.1,55,418,66.4,2,91,91,0.1,0.5
39,2013,81.8,67,2,8.2,55,83,65.8,2,91,91,0.1,0.5
39,2012,81.6,68,2,8.3,7,10,65.3,2,99,95,0.1,0.5
39,2011,81.5,68,2,8.2,7,803,64.7,2,87,87,0.1,0.5
39,2010,81.2,7,2,8.4,56,99,64.1,2,88,89,0.1,0.4
39,2009,81,72,2,8.4,42,14,63.6,2,89,91,0.1,0.4
39,2008,87,74,2,8.3,28,62,63,2,89,92,0.1,0.4
39,2007,85,74,2,8.3,14,101,62.5,2,9,94,0.1,0.4
39,2006,85,75,2,8.2,14,13,61.9,2,95,95,0.1,0.4
39,2005,81,76,2,8,14,6,61.3,2,93,93,0.1,0.4
39,2004,80,77,2,7.8,14,7,6.6,2,91,91,0.1,0.4
39,2003,79.7,78,2,7.7,14,15,6,2,88,91,0.1,0.4
39,2002,79.5,79,2,7.7,,6,59.3,2,88,88,0.1,0.4
39,2001,79.4,8,2,7.6,,34,58.5,2,88,89,0.1,0.4
39,2000,79.1,82,2,7.6,,206,57.8,2,88,89,0.1,0.5
117,2015,52.5,397,15,,47,150,22.7,21,47,47,4.4,8.2
117,2014,58,437,15,0.01,47,210,22.1,22,47,47,4.5,8.3
117,2013,49.9,451,16,0.01,23,596,21.6,23,23,23,5.1,8.5
117,2012,53,439,16,0.01,47,141,21.2,23,47,47,5.1,8.6
117,2011,49.8,443,16,1.66,47,679,2.7,24,47,47,5.8,8.8
117,2010,49.2,446,17,1.67,45,2,2.2,24,46,45,6.6,8.9
117,2009,48.6,453,17,1.56,42,11,19.8,25,45,42,7.3,9.1
117,2008,47.6,477,17,1.52,,12,19.4,25,46,45,8.3,9.2
117,2007,46.8,495,17,1.5,,49,19,26,46,48,9,9.4
117,2006,46.3,56,17,1.54,,3,18.6,26,47,51,10,9.6
117,2005,45.9,511,17,1.5,,471,18.2,26,47,54,11.2,9.7
117,2004,45.7,512,17,1.5,,1233,17.9,26,45,51,12,9.9
117,2003,45.7,51,17,1.49,,652,17.5,26,44,47,12.8,1.1
117,2002,45.6,58,17,1.47,,938,17.2,25,42,44,13.4,1.2
117,2001,45.6,54,17,1.52,,2837,16.8,25,4,4,13.9,1.4
117,2000,46,49,16,1.51,,3207,16.5,25,38,37,14.3,1.5
69,2015,53.1,356,46,,46,418,19.1,77,52,46,2.8,8.4
69,2014,52.6,362,46,0.01,37,1275,18.7,78,44,37,2.9,8.5
69,2013,52.2,366,46,0.64,39,226,18.2,78,46,39,3.1,8.7
69,2012,51.8,367,46,0.62,4,120,17.9,79,51,4,3.6,8.9
69,2011,51.6,365,46,0.56,33,8650,17.5,79,4,33,3.9,9.1
69,2010,51.2,364,46,0.5,39,194,17.1,80,43,39,4.1,9.3
69,2009,57,37,46,0.47,24,165,16.7,80,32,24,4.4,9.5
69,2008,49.6,394,46,0.45,17,63,16.4,80,3,19,4.7,9.7
69,2007,49.4,394,46,0.42,,441,16.1,80,38,28,4.9,1
69,2006,48.5,414,45,0.41,,1594,15.7,80,49,4,5.1,1.2
69,2005,48.6,46,45,0.42,,2,15.4,79,37,25,5.2,1.4
69,2004,48.5,45,44,0.34,,10324,15.1,78,31,21,5.2,1.6
69,2003,48.4,43,44,0.42,,15801,14.8,77,36,23,5.1,1.8
69,2002,48.1,43,43,0.36,,7277,14.4,76,31,25,5,11
69,2001,48,4,42,0.3,,24908,14.1,75,26,26,4.8,11.2
69,2000,47.6,44,41,0.25,,3546,13.9,74,3,36,4.6,11.4
65,2015,85,82,2,,97,9,63.8,2,96,96,0.1,0.8
65,2014,83,83,2,7.16,95,0,63.1,2,95,95,0.1,0.8
65,2013,81,84,2,7.2,9,0,62.5,2,9,91,0.1,0.8
65,2012,79.9,84,2,6.76,9,0,61.8,2,9,9,0.1,0.8
65,2011,79.8,86,2,7.26,94,6,61.2,2,93,94,0.1,0.8
65,2010,79.1,89,2,7.93,92,0,6.6,2,92,92,0.1,0.9
65,2009,79.3,91,2,7.67,94,1,59.9,2,94,94,0.1,0.9
65,2008,79.6,88,2,7.31,95,0,59.3,2,95,95,0.1,0.9
65,2007,78.9,9,2,7.39,92,0,58.7,2,95,96,0.1,0.9
65,2006,78.9,91,2,7.33,95,0,58.1,2,94,94,0.1,0.9
65,2005,78.4,93,2,7.57,,0,57.4,2,92,91,0.1,1
65,2004,78,97,2,6.32,,0,56.8,2,94,93,0.1,1
65,2003,77.9,1,2,6.37,,1,56.1,2,96,96,0.1,1
65,2002,77.8,11,2,06.06,,0,55.4,3,97,97,0.1,1
65,2001,77.3,16,2,6.1,,0,54.7,3,96,97,0.1,1
65,2000,77.3,13,2,6.24,,0,54,3,91,91,0.1,1.1
1,2015,76.1,85,157,,99,42361,32.9,183,99,99,0.1,2.9
1,2014,75.8,86,171,5.78,99,52628,31.9,198,99,99,0.1,3
1,2013,75.6,88,185,5.79,99,26883,3.9,216,99,99,0.1,3.2
1,2012,75.4,89,201,5.74,99,6183,3,233,99,99,0.1,3.3
1,2011,75.2,91,215,5.63,99,9943,29,251,99,99,0.1,3.5
1,2010,75,92,231,5.75,99,38159,28.1,268,99,99,0.1,3.6
1,2009,74.9,93,248,4.88,99,52461,27.3,288,99,99,0.1,3.8
1,2008,74.5,97,266,4.27,95,131441,26.5,308,99,97,0.1,4
1,2007,74.4,96,285,3.88,92,109023,25.7,332,94,93,0.1,4.1
1,2006,74.2,98,307,3.28,91,99602,24.9,360,94,93,0.1,4.3
1,2005,73.9,99,332,2.92,84,124219,24.1,392,87,87,0.1,4.4
1,2004,73.5,11,360,03.04,79,70549,23.4,427,87,87,0.1,4.6
1,2003,73.1,13,391,2.96,75,71879,22.6,467,87,86,0.1,4.7
1,2002,72.7,16,422,2.91,7,58341,21.9,511,86,86,0.1,4.9
1,2001,72.2,11,457,2.84,65,88962,21.2,558,86,86,0.1,5
1,2000,71.7,115,490,03.06,6,71093,2.5,608,86,85,0.1,5.1
28,2015,74.8,143,10,,91,1,57.9,12,91,91,0.1,1.9
28,2014,74.6,144,11,4.38,9,0,57.2,12,9,9,0.1,1.9
28,2013,74.4,145,11,4.41,91,1,56.4,13,91,91,0.1,1.9
28,2012,74.3,143,11,4.44,92,1,55.7,13,91,91,0.1,1.9
28,2011,74.2,144,12,4.37,85,6,55,14,85,85,0.1,2
28,2010,73.6,15,12,4.28,88,0,54.2,15,88,88,0.1,2
28,2009,73.6,15,13,4.34,92,0,53.5,15,92,92,0.1,2
28,2008,73.5,146,14,4.45,92,0,52.8,16,92,92,0.1,2
28,2007,73.5,144,14,4.66,93,0,52,17,93,93,0.1,2.1
28,2006,73.1,147,15,4.53,93,0,51.3,17,94,93,0.1,2.1
28,2005,73.1,144,15,4.38,93,0,5.5,18,93,93,0.1,2.1
28,2004,72.8,148,16,4.26,89,0,49.8,19,89,89,0.1,2.2
28,2003,72.4,15,16,4.25,92,0,49,19,92,92,0.1,2.2
28,2002,71.8,163,17,4.45,78,139,48.2,20,83,81,0.1,2.3
28,2001,71.5,165,17,4.43,8,3,47.5,21,83,8,0.1,2.3
28,2000,71.4,167,18,4.66,78,1,46.7,21,82,79,0.1,2.3
163,2015,63.5,227,1,,91,0,24.2,2,92,91,0.8,6.5
163,2014,63.2,23,1,0.01,88,0,23.7,2,87,87,0.8,6.6
163,2013,62.9,233,1,0.01,88,0,23.2,2,85,87,0.8,6.6
163,2012,62.5,237,2,0.01,89,1,22.6,2,85,86,0.8,6.7
163,2011,62.2,241,2,0.12,83,3,22.1,2,85,83,0.2,6.8
163,2010,61.8,246,2,0.15,74,0,21.6,2,82,74,0.1,6.9
163,2009,61.3,251,2,0.17,83,1,21.1,2,84,83,0.1,7
163,2008,61,255,2,0.12,81,0,2.6,2,81,81,0.1,7.1
163,2007,66,259,2,0.16,75,0,2.1,2,75,75,0.1,7.2
163,2006,63,262,2,0.25,69,85,19.6,2,69,69,0.1,7.3
163,2005,60,266,2,0.24,68,912,19.2,2,67,68,0.1,7.4
163,2004,59.8,269,2,0.27,77,0,18.8,2,73,76,0.1,7.5
163,2003,59.6,271,2,0.26,28,0,18.4,2,8,8,0.1,7.6
163,2002,59.5,271,2,0.08,,0,18,2,98,89,0.1,7.7
163,2001,59.5,272,1,0.08,,0,17.6,2,7,7,0.1,7.8
163,2000,59.5,272,1,0.09,,0,17.3,2,7,7,0.1,7.9
15,2015,64.7,267,7,,8,1359,27.4,10,8,8,2.8,7.1
15,2014,64.2,275,7,0.01,9,71,26.8,10,9,9,3,7.3
15,2013,63.9,274,7,0.01,85,124,26.2,10,85,85,3,7.4
15,2012,63.7,273,7,0.01,62,260,25.6,10,61,85,3.3,7.5
15,2011,62.9,285,7,3.82,7,315,25,10,69,82,3.5,7.6
15,2010,62,298,7,3.53,74,4,24.5,10,72,74,3.8,7.7
15,2009,68,314,7,3.47,75,1,23.9,11,76,78,4,7.9
15,2008,59.4,338,8,2.58,73,2,23.3,11,77,79,4.3,8
15,2007,58.2,354,8,2.75,64,84,22.8,11,71,72,5,8.2
15,2006,56.9,368,8,2.25,,126,22.3,12,73,73,5.5,8.3
15,2005,55.3,394,8,02.03,,146,21.7,13,62,62,5.9,8.5
15,2004,54.1,48,9,2.58,,3524,21.2,13,67,67,6.3,8.6
15,2003,53.2,417,9,2.45,,3712,2.7,14,5,5,6.8,8.8
15,2002,52.6,424,9,2.55,,2788,2.3,14,41,41,7.2,8.9
15,2001,52.7,419,9,2.3,,2152,19.8,14,32,31,7.6,9
15,2000,52.9,416,9,2.26,,1678,19.3,14,31,33,7.8,9.2
223,2013,,,0,0.01,98,0,82.8,0,98,98,0.1,0.1
124,2015,79.6,95,1,,92,0,6.5,1,92,92,0.1,1.7
124,2014,79.5,96,1,3.45,91,1,59.5,1,91,91,0.1,1.7
124,2013,79.4,96,1,3.42,94,0,58.5,1,95,95,0.1,1.7
124,2012,79.2,97,1,3.34,91,0,57.5,1,9,91,0.1,1.7
124,2011,79,98,1,3.41,84,0,56.5,1,82,85,0.1,1.7
124,2010,78.1,16,1,3.58,89,0,55.5,1,93,88,0.1,1.8
124,2009,79.2,96,1,04.07,87,0,54.4,1,8,86,0.1,1.8
124,2008,78.9,99,1,4.22,89,0,53.4,1,89,9,0.1,1.8
124,2007,78.9,93,1,4.2,89,0,52.4,1,89,89,0.1,1.9
124,2006,78,16,1,4.15,88,0,51.4,1,89,89,0.1,1.9
124,2005,78.6,97,1,4.1,9,1,5.3,1,91,91,0.1,2
124,2004,77.7,12,1,04.09,89,0,49.3,1,9,9,0.1,2
124,2003,78,1,1,04.04,86,1,48.3,1,88,88,0.1,2.1
124,2002,78.3,99,1,4.17,94,0,47.3,1,94,94,0.1,2.2
124,2001,77.5,1,1,4.29,8,0,46.4,1,92,91,0.1,2.2
124,2000,77.6,98,1,4.34,89,0,45.4,1,8,88,0.1,2.3
130,2015,78,95,0,,94,206,63.7,0,94,94,0.1,1.4
130,2014,77.8,97,0,12.14,95,0,63.1,0,95,95,0.1,1.5
130,2013,77.7,97,0,12.39,96,0,62.5,0,96,96,0.1,1.5
130,2012,77.1,14,0,11.49,98,2,61.9,0,96,96,0.1,1.5
130,2011,77,14,0,12.19,97,12,61.3,0,96,96,0.1,1.5
130,2010,76.6,16,0,12.1,97,7,6.6,0,97,97,0.1,1.6
130,2009,76.3,19,0,12.21,97,2,6,0,96,96,0.1,1.6
130,2008,76,116,0,12.06,97,51,59.4,0,96,96,0.1,1.7
130,2007,75.8,114,0,12.56,95,0,58.7,0,96,96,0.1,1.7
130,2006,75.9,113,0,11.83,,1,58.1,0,96,96,0.1,1.8
130,2005,75.2,116,0,11.59,,2,57.5,0,96,96,0.1,1.8
130,2004,75.4,114,0,13.11,,54,56.9,0,96,96,0.1,1.9
130,2003,74.7,122,0,13.78,,19,56.3,0,95,94,0.1,1.9
130,2002,74.8,124,0,13.39,,6,55.8,0,95,95,0.1,2
130,2001,74.9,126,0,13.15,,8,55.2,0,94,94,0.1,2
130,2000,74.7,127,0,12.73,,9,54.7,0,94,93,0.1,2.1
85,2015,79.1,92,1,,99,0,61.4,1,99,99,0.1,3.3
85,2014,79,93,1,4.37,97,0,6.7,1,99,99,0.1,3.3
85,2013,78.7,96,1,4.18,96,0,59.9,1,99,99,0.1,3.3
85,2012,78.7,96,1,4.16,96,0,59.2,1,98,99,0.1,3.2
85,2011,78.8,92,1,4.14,96,0,58.4,1,99,97,0.1,3.2
85,2010,78,98,1,4.13,96,0,57.7,1,99,96,0.1,3.2
85,2009,78.1,11,1,04.01,96,0,56.9,1,99,96,0.1,3.2
85,2008,77.9,12,1,4.26,95,0,56.2,1,99,95,0.1,3.2
85,2007,78.1,14,1,4.13,93,0,55.4,1,99,93,0.1,3.2
85,2006,78,14,1,4.17,89,0,54.6,1,99,89,0.1,3.2
85,2005,77.2,19,1,4.48,95,0,53.8,1,99,89,0.1,3.3
85,2004,77.3,17,1,4.38,99,0,53,1,98,88,0.1,3.3
85,2003,77.4,18,1,4.39,99,0,52.1,1,98,72,0.1,3.3
85,2002,77.7,19,1,4.1,98,0,51.3,1,98,99,0.1,3.3
85,2001,76.7,115,1,04.04,98,0,5.4,1,99,98,0.1,3.4
85,2000,76.9,115,1,3.92,98,0,49.4,1,98,95,0.1,3.4
158,2015,85,52,0,,97,0,6.3,0,97,97,0.1,1
158,2014,83,53,0,0.01,96,10,59.8,0,99,99,0.1,1
158,2013,81,54,0,09.04,96,0,59.2,0,99,99,0.1,1
158,2012,80,56,0,10.55,96,1,58.7,0,99,99,0.1,1
158,2011,79.7,57,0,10.69,96,0,58.3,0,99,99,0.1,1
158,2010,79.5,59,0,11.32,96,18,57.8,0,99,99,0.1,1
158,2009,79.3,6,0,10.8,96,0,57.3,0,99,99,0.1,1
158,2008,79.1,62,0,12.01,93,1,56.8,0,97,97,0.1,1
158,2007,78.9,63,0,11.56,93,0,56.3,0,97,97,0.1,1
158,2006,78.8,64,0,11.47,93,0,55.8,0,97,97,0.1,1
158,2005,78.7,65,0,11.41,88,1,55.3,0,98,98,0.1,1
158,2004,78.6,65,0,13.03,88,0,54.8,0,98,98,0.1,1
158,2003,78.5,66,0,10.62,88,0,54.3,0,98,98,0.1,1
158,2002,78.4,68,0,11.68,88,0,53.8,0,98,98,0.1,1
158,2001,78.2,69,0,10.16,89,0,53.3,0,97,97,0.1,1
158,2000,78.1,7,0,9.56,89,0,52.8,0,97,97,0.1,1
88,2015,78.8,86,0,,97,9,66.1,0,97,97,0.1,1.8
88,2014,78.6,88,0,12.68,99,222,65.6,0,99,97,0.1,1.9
88,2013,78.2,9,0,12.45,99,15,65.1,0,99,98,0.1,1.9
88,2012,78,93,0,12.71,99,22,64.5,0,99,99,0.1,1.9
88,2011,77.8,97,0,12.43,99,17,64,0,99,99,0.1,1.9
88,2010,77.5,99,0,12.69,99,0,63.6,0,99,99,0.1,2
88,2009,77.1,12,0,13.23,99,5,63.1,0,99,99,0.1,2
88,2008,77,16,0,13.25,99,2,62.6,0,99,99,0.1,2
88,2007,76.8,17,0,13.43,99,2,62.2,0,99,99,0.1,2.1
88,2006,76.5,19,0,13.03,98,7,61.8,0,98,98,0.1,2.1
88,2005,75.9,114,0,13.19,99,0,61.3,0,96,97,0.1,2.1
88,2004,75.8,116,0,13.24,98,17,6.8,0,96,98,0.1,2.2
88,2003,75.2,122,0,13.01,92,30,6.4,0,97,97,0.1,2.2
88,2002,75.3,12,0,13.47,86,4,59.9,0,97,98,0.1,2.3
88,2001,75.1,123,0,13.36,,6,59.4,0,97,98,0.1,2.3
88,2000,74.7,126,0,13.22,,9,59,0,98,98,0.1,2.3
29,2015,76,139,6,,96,0,32.9,7,99,96,0.1,4.9
29,2014,73,142,6,0.01,93,3,32.4,8,99,93,0.1,4.9
29,2013,71,146,6,3.35,93,0,31.8,8,99,93,0.1,5
29,2012,69.8,149,7,3.61,96,0,31.3,9,99,96,0.1,5.1
29,2011,69.4,153,8,3.39,94,0,3.8,10,99,94,0.1,5.2
29,2010,69,157,8,3.12,93,0,3.3,10,99,93,0.1,5.2
29,2009,68.7,161,9,3.35,93,0,29.7,11,98,93,0.1,5.3
29,2008,68.6,164,9,3.16,92,8,29.2,12,98,92,0.1,5.4
29,2007,68.5,166,9,3.13,92,3550,28.7,12,99,92,0.1,5.5
29,2006,68.5,165,10,3.28,96,0,28.2,12,98,89,0.1,5.6
29,2005,68.5,165,10,3.21,92,0,27.7,13,97,79,0.1,5.7
29,2004,68.4,165,11,3.13,98,0,27.2,14,99,72,0.1,5.7
29,2003,68.1,165,12,3.13,27,0,26.7,15,99,68,0.1,5.8
29,2002,67.6,167,14,03.08,,0,26.2,18,99,64,0.1,5.9
29,2001,66.6,177,16,2.53,,0,25.7,21,98,62,0.1,6
29,2000,65.4,192,18,3.52,,0,25.2,25,93,56,0.1,6
114,2015,59.8,258,236,,81,5020,21.6,308,78,81,1.1,9.3
114,2014,59.3,266,237,0.01,8,33711,21.1,312,79,8,1.1,9.5
114,2013,58.8,272,238,0.01,74,88381,2.6,314,74,74,1.2,9.6
114,2012,58.3,277,239,0.01,75,72029,2.1,317,76,75,1.5,9.8
114,2011,57.9,278,239,1.82,74,133802,19.6,319,77,74,1.6,1
114,2010,57.4,283,239,1.81,6,5407,19.1,321,76,6,1.6,1.2
114,2009,56.7,292,238,2.13,72,57,18.6,323,78,72,1.7,1.4
114,2008,56.3,295,237,02.09,65,12461,18.2,324,64,65,1.8,1.7
114,2007,55.7,299,236,1.52,7,55577,17.8,326,72,7,1.9,1.9
114,2006,55,36,235,1.53,,80123,17.3,327,62,62,2,11.1
114,2005,54.3,314,233,1.43,,182485,16.9,329,6,6,2,11.3
114,2004,53.5,323,232,1.44,,44934,16.5,330,52,54,2.1,11.5
114,2003,52.8,332,231,1.83,,21956,16.1,331,47,41,2.2,11.7
114,2002,52.1,341,229,1.85,,30466,15.7,331,4,38,2.4,11.9
114,2001,51.8,34,227,1.9,,8072,15.3,332,3,3,2.4,12.1
114,2000,51.3,346,226,1.98,,8282,14.9,332,42,4,2.5,12.3
115,2015,86,71,0,,,9,58.8,0,93,93,0.1,0.9
115,2014,84,73,0,9.64,,27,58.4,0,94,94,0.1,0.9
115,2013,81,75,0,9.5,,17,58.1,0,94,94,0.1,0.9
115,2012,80,76,0,9.26,,2,57.7,0,94,94,0.1,0.9
115,2011,79.7,79,0,10.47,,84,57.4,0,91,91,0.1,0.9
115,2010,79.2,84,0,10.28,,5,57,0,9,9,0.1,0.9
